lat,xnagb,xnage,xnagd,xnagf,xnagg,xmzke,xmzkg,xmzkh,xmzkb,xmzkc,pi_ctrl,pi_forc,LGM_forc
-89.0,-61.71246032714845,-61.89226989746095,-62.47818908691406,-62.57318725585938,-63.18764343261719,-71.9310516357422,-72.04266052246095,-71.93868103027344,-72.15315246582031,-72.15339660644531,-61.8023651123047,225.4962341308594,210.2504648844401
-87.0,-60.81694641113282,-60.988681030273426,-61.54896545410156,-61.67235412597657,-62.22260742187501,-71.14224548339843,-71.22796020507812,-71.19764099121093,-71.4811981201172,-71.38228759765624,-60.90281372070312,226.42793172200518,211.0319803873698
-85.0,-57.23481750488281,-57.37425231933594,-57.83192443847656,-58.06916809082031,-58.36260986328125,-67.98716735839844,-67.96926879882812,-68.23362731933594,-68.79338073730469,-68.2978515625,-57.304534912109375,230.15467325846353,214.15790812174478
-83.0,-56.753872680664074,-56.9246795654297,-57.31546936035156,-57.61936340332031,-57.65434570312499,-64.89202575683595,-64.81594848632812,-65.23725280761718,-65.78971862792969,-65.18214111328126,-56.839276123046886,230.71284790039064,217.2395202636719
-81.0,-56.64446716308595,-56.76757202148437,-57.198889160156256,-57.512487792968756,-57.39748229980469,-62.1208526611328,-61.980801391601574,-62.45393981933594,-63.07593994140626,-62.311123657226574,-56.70601959228516,230.872954305013,220.03606465657552
-79.0,-55.743319702148426,-55.79857788085937,-56.22340087890626,-56.60308837890625,-56.39043884277345,-59.32184753417968,-59.143222045898426,-59.67051086425781,-60.41657714843751,-59.451870727539074,-55.7709487915039,231.83693135579426,222.84273579915364
-77.0,-53.343844604492176,-53.37206420898437,-53.736859130859386,-54.199069213867176,-53.89097595214844,-55.98499755859376,-55.81464233398438,-56.374722290039074,-57.22527770996095,-56.129000854492176,-53.35795440673827,234.3002726236979,226.16314188639322
-75.0,-49.19615173339844,-49.301116943359375,-49.693756103515625,-50.06169128417969,-49.61619567871094,-51.44207763671875,-51.338531494140625,-51.75526428222656,-52.56480407714844,-51.62467956542969,-49.248634338378906,238.4520263671875,230.7093048095703
-73.0,-43.24693298339844,-43.36962280273437,-43.844635009765625,-43.98750915527344,-43.59532165527344,-45.46531982421874,-45.524578857421886,-45.90570373535155,-47.0666473388672,-45.55304870605468,-43.3082778930664,244.43341878255208,236.58939514160156
-71.0,-36.67484436035156,-36.82549438476562,-37.35093688964844,-37.2856414794922,-36.983245849609375,-39.00469665527345,-39.06377868652345,-39.477740478515614,-40.74627380371095,-39.050259399414074,-36.75016937255859,251.03596598307294,243.03919067382813
-69.0,-30.516891479492188,-30.622271728515614,-31.1019256591797,-30.999838256835915,-30.80830078125001,-32.69908752441407,-32.60845031738282,-33.15361938476562,-34.49891662597656,-32.656466674804676,-30.5695816040039,257.2725524902344,249.4008768717448
-67.0,-25.32579345703124,-25.34785156250001,-25.68121337890625,-25.711828613281227,-25.612469482421886,-27.11022338867187,-26.81201782226563,-27.48701171875001,-28.997238159179688,-26.935815429687523,-25.336822509765625,262.5740702311198,255.08484497070313
-65.0,-21.16998291015625,-21.2244873046875,-21.36676025390625,-21.54132080078125,-21.451385498046875,-22.722686767578125,-22.329010009765625,-22.90301513671875,-24.691329956054688,-22.4764404296875,-21.197235107421875,266.78941853841144,259.56969197591144
-63.0,-17.91058349609375,-17.889550781250023,-18.21685791015625,-18.251379394531227,-18.179266357421852,-18.997247314453148,-18.555401611328136,-19.31646728515625,-20.711898803710938,-18.777563476562477,-17.900067138671886,270.02673950195316,263.26489054361974
-61.0,-15.616186523437477,-15.598388671875,-15.890893554687523,-15.915509033203136,-15.795996093749977,-16.093511962890602,-15.642846679687523,-16.384686279296886,-17.56159667968751,-15.914691162109364,-15.607287597656239,272.37510782877604,266.18091430664066
-59.0,-13.932788085937489,-13.904248046875011,-14.115197753906273,-14.165765380859398,-14.028723144531227,-13.752972412109386,-13.343310546874989,-13.964947509765636,-15.012499999999989,-13.642205810546898,-13.91851806640625,274.13934529622395,268.53418579101566
-57.0,-12.544610595703148,-12.505236816406239,-12.66033935546875,-12.713769531250023,-12.615814208984375,-11.811389160156239,-11.469964599609398,-11.968682861328148,-12.878710937499989,-11.776782226562489,-12.524923706054693,275.5792663574219,270.47125040690105
-55.0,-11.174102783203125,-11.24432373046875,-11.34112548828125,-11.3507080078125,-11.306854248046875,-10.19879150390625,-9.897186279296875,-10.361480712890625,-11.016357421875,-10.1973876953125,-11.209213256835938,276.90967814127606,272.0687764485677
-53.0,-9.880181884765648,-9.95208740234375,-10.032849121093761,-10.008203125000023,-9.974383544921864,-8.523400878906273,-8.152972412109364,-8.646270751953125,-9.119531250000023,-8.475195312499977,-9.916134643554699,278.23742879231764,273.78038126627604
-51.0,-8.64483642578125,-8.712713623046852,-8.759362792968773,-8.698876953125023,-8.667144775390625,-6.909478759765648,-6.507086181640602,-7.004815673828148,-7.223840332031273,-6.858178710937523,-8.678775024414051,279.5341125488281,275.4141357421875
-49.0,-7.50360107421875,-7.540399169921898,-7.559301757812477,-7.467968750000011,-7.432403564453125,-5.417498779296864,-4.997918701171898,-5.456842041015648,-5.447424316406227,-5.405566406249989,-7.522000122070324,280.756016031901,276.9305094401042
-47.0,-6.369482421874977,-6.351293945312477,-6.350195312499977,-6.236431884765636,-6.204010009765625,-4.015332031250011,-3.5906860351562386,-3.9668151855468636,-3.8102783203124773,-4.044708251953125,-6.360388183593727,281.97902832031247,278.3636515299479
-45.0,-5.032958984375,-4.9635009765625,-4.928466796875,-4.800933837890625,-4.802398681640625,-2.5782470703125,-2.17742919921875,-2.443939208984375,-2.2342529296875,-2.571075439453125,-4.99822998046875,283.3986409505208,279.82139078776044
